Car Id,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
43,Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,Fourth & Above Owner
44,BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,Second Owner
45,Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,Third Owner
46,Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,First Owner
47,Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,First Owner
48,Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,Second Owner
49,Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,Second Owner
50,Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,Second Owner
51,Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,Second Owner
52,Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,Third Owner
53,Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,Petrol,Individual,Manual,First Owner
54,Maruti Alto LXi,2006,100000,80000,Petrol,Individual,Manual,First Owner
55,Maruti Swift Dzire VDI Optional,2017,725000,18500,Diesel,Dealer,Manual,First Owner
56,Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,Petrol,Dealer,Manual,First Owner
57,Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,Diesel,Dealer,Manual,First Owner
58,Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,Petrol,Dealer,Manual,First Owner
59,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner
60,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner
61,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner
62,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner
63,Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner
64,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner
65,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner
66,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner
67,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner
68,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner
69,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner
70,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,350000,Diesel,Individual,Manual,Second Owner
71,Toyota Corolla Altis Diesel D4DG,2011,350000,230000,Diesel,Individual,Manual,First Owner
72,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner
73,Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner
74,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner
75,Toyota Innova 2.5 V Diesel 8-seater,2009,500000,120000,Diesel,Individual,Manual,Third Owner
76,Tata Indica Vista Quadrajet LS,2014,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner
77,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner
78,Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,35000,Diesel,Individual,Manual,First Owner
79,Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner
80,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner
81,Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner
82,Skoda Rapid 1.5 TDI Elegance,2014,450000,120000,Diesel,Individual,Manual,Second Owner
83,Hyundai Getz GLS,2005,80000,120000,Petrol,Individual,Manual,Third Owner
84,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner
85,Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner
86,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner
87,Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner
88,Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner
89,Hyundai Creta 1.6 SX Option,2017,1025000,9000,Petrol,Dealer,Manual,First Owner
90,Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,6500,Diesel,Dealer,Automatic,First Owner
91,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner
92,Renault Duster 85PS Diesel RxL Optional,2013,600000,120000,Diesel,Individual,Manual,First Owner
93,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner
94,Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner
95,Audi A6 2.0 TDI Premium Plus,2014,1470000,34000,Diesel,Dealer,Automatic,Second Owner
96,Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner
97,Audi A8 4.2 TDI,2013,2800000,49000,Diesel,Dealer,Automatic,First Owner
98,Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner
99,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner
100,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,53000,Diesel,Dealer,Automatic,First Owner
101,Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner
102,Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,9800,Petrol,Dealer,Automatic,First Owner
103,BMW X1 sDrive 20d xLine,2017,2750000,13000,Diesel,Individual,Automatic,First Owner
104,Volvo V40 D3 R Design,2018,1975000,21000,Diesel,Dealer,Automatic,First Owner
105,Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner
106,BMW 7 Series 730Ld,2012,2500000,48000,Diesel,Dealer,Automatic,First Owner
107,Mahindra Bolero Power Plus SLX,2017,628000,120000,Diesel,Individual,Manual,First Owner
108,Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner
109,Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner
110,Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner
111,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner
112,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner
113,Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner
114,Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner
115,Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner
116,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner
117,Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner
118,Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner
119,Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner
120,Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner
121,Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner
122,Maruti Ertiga VDI,2014,500000,120000,Diesel,Individual,Manual,Second Owner
123,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner
124,Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner
125,Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner
126,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner
127,Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner
128,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner
129,Maruti Ertiga SHVS VDI,2016,800000,70000,Diesel,Individual,Manual,Second Owner
130,Hyundai Creta 1.6 CRDi SX,2016,840000,70000,Diesel,Individual,Manual,Second Owner
131,Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner
132,Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner
133,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,120000,Diesel,Individual,Manual,Third Owner
134,Chevrolet Cruze LTZ,2015,1000000,3600,Diesel,Dealer,Manual,First Owner
135,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner
136,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,49213,Diesel,Dealer,Manual,First Owner
137,Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner
138,Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner
139,Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner
140,Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner
141,Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner
142,Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner
143,Tata Bolt Quadrajet XE,2016,250000,120000,Diesel,Individual,Manual,First Owner
144,Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner
145,Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner
146,Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner
147,Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner
148,Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner
149,Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner
150,Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner
151,Maruti Vitara Brezza VDi,2018,800000,35000,Diesel,Individual,Manual,First Owner
152,Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner
153,Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner
154,Mahindra Quanto C8,2012,195000,140000,Diesel,Individual,Manual,Second Owner
155,Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,120000,Diesel,Individual,Manual,First Owner
156,Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner
157,Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner
158,Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner
159,Maruti Wagon R LXI,2020,240000,120000,Petrol,Individual,Manual,First Owner
160,Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,175000,Diesel,Individual,Manual,First Owner
161,Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner
162,Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner
163,Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner
164,Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,40000,Petrol,Individual,Automatic,Second Owner
165,Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner
166,Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner
167,Tata Indigo CR4,2011,150000,155500,Diesel,Individual,Manual,First Owner
168,Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner
169,Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner
170,Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner
171,Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner
172,Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner
173,Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner
174,Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner
175,Maruti Swift Dzire ZXI Plus,2019,810000,15000,Petrol,Individual,Manual,First Owner
176,Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner
177,Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner
178,Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner
179,Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner
180,Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner
181,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner
182,Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner
183,Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner
184,Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner
185,Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner
186,Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner
187,Mahindra Bolero Power Plus SLX,2019,800000,15000,Diesel,Individual,Manual,First Owner
188,Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner
189,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner
190,Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner
191,Honda City 1.5 EXI,2005,100000,120000,Petrol,Individual,Manual,Second Owner
192,Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,35000,Diesel,Individual,Automatic,First Owner
193,Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner
194,Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner
195,Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner
196,Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner
197,Maruti Swift Dzire VDi,2009,250000,150000,Diesel,Individual,Manual,Third Owner
198,Mahindra Xylo E4,2009,229999,230000,Diesel,Individual,Manual,Third Owner
199,Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner
200,Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner
201,Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner
202,Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner
203,Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner
204,Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner
205,BMW 5 Series 520d Luxury Line,2017,2900000,40000,Diesel,Individual,Automatic,First Owner
206,Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner
207,Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner
208,Fiat Linea T Jet Emotion,2018,890000,1136,Petrol,Dealer,Manual,First Owner
209,Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner
210,Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner
211,Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,First Owner
212,Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2650,Diesel,Dealer,Manual,First Owner
213,Mahindra XUV500 W6 2WD,2017,1000000,40000,Diesel,Individual,Manual,First Owner
214,Mahindra XUV300 W8 Option,2019,1150000,15000,Petrol,Dealer,Manual,First Owner
215,Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,Second Owner
216,Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner
217,Maruti S-Cross Facelift,2017,800000,40000,Diesel,Individual,Manual,First Owner
218,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,First Owner
219,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,15000,Diesel,Individual,Automatic,First Owner
220,Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,First Owner
221,Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner
222,Maruti Alto LX,2006,52000,120000,Petrol,Individual,Manual,Third Owner
223,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner
224,Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner
225,Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner
226,Mahindra Renault Logan 1.5 DLS,2008,89999,213000,Diesel,Individual,Manual,First Owner
227,Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,120000,Diesel,Individual,Manual,First Owner
228,Mahindra Scorpio S11 BSIV,2017,1500000,20000,Diesel,Individual,Manual,First Owner
229,Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Individual,Manual,First Owner
230,Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Individual,Manual,Second Owner
231,Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Individual,Manual,First Owner
232,Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Individual,Manual,First Owner
233,Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Individual,Manual,Second Owner
234,Hyundai i10 Era,2011,175000,139000,Petrol,Individual,Manual,Second Owner
235,Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,160000,Diesel,Individual,Manual,Second Owner
236,Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner
237,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
238,Tata Indica V2 2001-2011 DLS BSIII,2009,90000,120000,Diesel,Dealer,Manual,First Owner
239,Tata Indica Vista TDI LS,2011,120000,120000,Diesel,Individual,Manual,Second Owner
240,Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Individual,Manual,Second Owner
241,Tata Zest Quadrajet 1.3 75PS XE,2015,300000,140000,Diesel,Dealer,Manual,First Owner
242,Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Dealer,Manual,Second Owner
243,Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,First Owner
244,Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Individual,Manual,Second Owner
245,Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,70000,Diesel,Individual,Manual,First Owner
246,Honda Mobilio V i DTEC,2014,300000,150000,Diesel,Individual,Manual,First Owner
247,Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000,Diesel,Individual,Manual,First Owner
248,Chevrolet Beat Diesel LT,2011,130000,80000,Diesel,Individual,Manual,Second Owner
249,Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Individual,Manual,First Owner
250,Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000,Petrol,Individual,Manual,First Owner
251,Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,First Owner
252,Maruti Baleno Alpha 1.2,2017,625000,52000,Petrol,Dealer,Manual,First Owner
253,Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,120000,Diesel,Individual,Manual,Third Owner
254,Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,Petrol,Individual,Manual,First Owner
255,Hyundai Grand i10 CRDi Magna,2017,490000,66000,Diesel,Dealer,Manual,First Owner
256,Maruti Ertiga SHVS ZDI,2017,880000,64000,Diesel,Dealer,Manual,First Owner
257,Hyundai Santro Xing GL Plus,2013,290000,49000,Petrol,Individual,Manual,First Owner
258,Tata Sumo GX TC 7 Str BSIII,2006,115999,100000,Diesel,Individual,Manual,Second Owner
259,Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,First Owner
260,Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,Second Owner
261,Maruti Vitara Brezza LDi Option,2017,685000,72000,Diesel,Dealer,Manual,First Owner
262,Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,First Owner
263,Hyundai i20 1.4 Sportz,2017,680000,44000,Diesel,Dealer,Manual,First Owner
264,Maruti Ertiga SHVS ZDI Plus,2017,1000000,60000,Diesel,Individual,Manual,Second Owner
265,Tata Sumo SE Plus BSIII,2002,100000,120000,Diesel,Individual,Manual,First Owner
266,Mahindra Xylo E4,2010,160000,130000,Diesel,Individual,Manual,First Owner
267,Maruti Swift ZDi BSIV,2017,450000,70000,Diesel,Individual,Manual,First Owner
268,Maruti Ertiga VXI,2014,600000,20000,Petrol,Individual,Manual,First Owner
269,Hyundai i20 1.4 Magna ABS,2009,180000,60000,Diesel,Individual,Manual,Second Owner
270,Maruti Alto LXi,2007,100000,195000,Petrol,Individual,Manual,First Owner
271,Maruti Alto LXi,2010,120000,90000,Petrol,Individual,Manual,Second Owner
272,Hyundai Getz GL,2006,130000,80000,Petrol,Individual,Manual,Third Owner
273,Maruti Wagon R LX BS IV,2011,160000,155000,Petrol,Individual,Manual,First Owner
274,Mahindra Bolero Power Plus SLX,2019,860000,35000,Diesel,Individual,Manual,First Owner
275,Hyundai i20 1.2 Spotz,2018,650000,20000,Petrol,Individual,Manual,Second Owner
276,Maruti Wagon R LXI Minor,2010,100000,80000,Petrol,Individual,Manual,Second Owner
277,Maruti Alto 800 VXI,2017,282000,20000,Petrol,Individual,Manual,First Owner
278,Hyundai i20 Asta (o),2009,300000,50000,Petrol,Individual,Manual,First Owner
279,Hyundai i20 Asta,2010,270000,110000,Petrol,Individual,Manual,Second Owner
280,Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000,Diesel,Individual,Manual,First Owner
281,Mahindra Xylo D2 BSIV,2013,450000,120000,Diesel,Individual,Manual,First Owner
282,Mahindra Bolero SLX 2WD BSIII,2011,430000,70000,Diesel,Individual,Manual,Second Owner
283,Maruti Ertiga VXI ABS,2013,350000,40000,Petrol,Individual,Manual,First Owner
284,Honda Brio 1.2 E MT,2017,350000,20000,Petrol,Individual,Manual,First Owner
285,Toyota Etios Liva G,2013,229999,50000,Petrol,Individual,Manual,Second Owner
286,Maruti Alto 800 LXI,2013,110000,50000,Petrol,Individual,Manual,First Owner
287,Maruti Swift Dzire 1.2 Vxi BSIV,2012,395000,49000,Petrol,Individual,Manual,Second Owner
288,Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000,Diesel,Individual,Automatic,Second Owner
289,Mahindra Bolero SLX,2011,350000,90000,Diesel,Individual,Manual,Second Owner
290,Mahindra XUV500 W11 Option AWD,2020,1400000,25000,Diesel,Dealer,Manual,First Owner
291,Tata Tiago 1.2 Revotron XZ,2018,360000,4000,Petrol,Individual,Manual,First Owner
292,Mahindra Marazzo M8 8Str,2018,1300000,10000,Diesel,Individual,Manual,First Owner
293,Renault Duster 110PS Diesel RxL,2015,800000,15000,Diesel,Individual,Manual,First Owner
294,Hyundai EON Magna Plus,2018,229999,30000,Petrol,Individual,Manual,First Owner
295,Maruti Wagon R VXI,2014,315000,41000,Petrol,Dealer,Manual,First Owner
