work_year,experience_level,employment_type,job_title,salary
2021,SE,FT,Finance Data Analyst,45000
2021,MI,FL,Machine Learning Scientist,12000
2021,MI,FT,Data Engineer,4000
2021,SE,FT,Data Analytics Engineer,50000
2021,EX,FT,Data Science Consultant,59000
2021,SE,FT,Data Engineer,65000
2021,MI,FT,Machine Learning Engineer,74000
2021,SE,FT,Data Science Manager,152000
2021,EN,FT,Machine Learning Engineer,21844
2021,MI,FT,Big Data Engineer,18000
2021,SE,FT,Data Science Manager,174000
2021,SE,FT,Research Scientist,120500
2021,MI,FT,Data Scientist,147000
2021,EN,FT,BI Data Analyst,9272
2021,SE,FT,Machine Learning Engineer,1799997
2021,SE,FT,Data Science Manager,4000000
2021,EN,FT,Data Science Consultant,90000
2021,MI,FT,Data Scientist,52000
2021,SE,FT,Machine Learning Infrastructure Engineer,195000
2021,MI,FT,Data Scientist,32000
2021,SE,FT,Research Scientist,50000
2021,MI,FT,Data Scientist,160000
2021,MI,FT,Data Scientist,69600
2021,SE,FT,Machine Learning Engineer,200000
2021,SE,FT,Data Engineer,165000
2021,MI,FL,Data Engineer,20000
2021,SE,FT,Data Analytics Manager,120000
2021,MI,FT,Machine Learning Engineer,21000
2021,MI,FT,Research Scientist,48000
2021,MI,FT,Data Engineer,48000
2021,EN,FT,Big Data Engineer,435000
2021,EN,FT,Machine Learning Engineer,21000
2021,SE,FT,Principal Data Engineer,185000
2021,EN,PT,Computer Vision Engineer,180000
2021,MI,FT,Data Scientist,76760
2021,MI,FT,Machine Learning Engineer,75000
2021,SE,FT,Data Analytics Manager,140000
2021,MI,FT,Machine Learning Engineer,180000
2021,MI,FT,Data Scientist,85000
2021,MI,FT,Data Scientist,2500000
2021,MI,FT,Data Scientist,40900
2021,SE,FT,Machine Learning Scientist,225000
2021,EX,CT,Principal Data Scientist,416000
2021,SE,FT,Data Scientist,110000
2021,MI,FT,Data Scientist,75000
2021,SE,FT,Data Scientist,135000
2021,SE,FT,Data Analyst,90000
2021,EN,FT,Big Data Engineer,1200000
2021,SE,FT,ML Engineer,256000
2021,SE,FT,Director of Data Engineering,200000
2021,SE,FT,Data Analyst,200000
2021,MI,FT,Data Architect,180000
2021,MI,FT,Head of Data Science,110000
2021,MI,FT,Research Scientist,80000
2021,MI,FT,Data Scientist,39600
2021,EN,FT,Data Scientist,4000
2021,EN,FT,Data Engineer,1600000
2021,SE,FT,Data Scientist,130000
2021,MI,FT,Data Analyst,80000
2021,MI,FT,Data Engineer,110000
2021,SE,FT,Data Scientist,165000
2021,EN,FT,AI Scientist,1335000
2021,MI,FT,Data Engineer,52500
2021,EN,FT,Data Scientist,31000
2021,MI,FT,Data Engineer,108000
2021,SE,FT,Data Engineer,70000
2021,SE,FT,Principal Data Analyst,170000
2021,MI,FT,Data Scientist,115000
2021,EN,FT,Data Scientist,90000
2021,EX,FT,Principal Data Engineer,600000
2021,EN,FT,Data Scientist,2100000
2021,MI,FT,Data Analyst,93000
2021,SE,FT,Big Data Architect,125000
2021,MI,FT,Data Engineer,200000
2021,SE,FT,Principal Data Scientist,147000
2021,SE,FT,Machine Learning Engineer,185000
2021,EX,FT,Director of Data Science,120000
2021,MI,FT,Data Scientist,130000
2021,SE,FT,Data Analyst,54000
2021,MI,FT,Data Scientist,1250000
2021,SE,FT,Machine Learning Engineer,4900000
2021,MI,FT,Data Scientist,21600
2021,SE,FT,Lead Data Engineer,160000
2021,MI,FT,Data Engineer,93150
2021,MI,FT,Data Engineer,111775
2021,MI,FT,Data Engineer,250000
2021,EN,FT,Data Engineer,55000
2021,EN,FT,Data Engineer,72500
2021,SE,FT,Computer Vision Engineer,102000
2021,EN,FT,Data Science Consultant,65000
2021,EN,FT,Machine Learning Engineer,85000
2021,SE,FT,Data Scientist,65720
2021,EN,FT,Data Scientist,100000
2021,EN,FT,Data Scientist,58000
2021,SE,FT,AI Scientist,55000
2021,SE,FT,Data Scientist,180000
2021,EN,FT,Business Data Analyst,50000
2021,MI,FT,Data Engineer,112000
2021,EN,FT,Research Scientist,100000
2021,MI,PT,Data Engineer,59000
2021,SE,CT,Staff Data Scientist,105000
2021,MI,FT,Research Scientist,69999
2021,SE,FT,Data Science Manager,7000000
2021,SE,FT,Head of Data,87000
2021,MI,FT,Data Scientist,109000
2021,MI,FT,Machine Learning Engineer,43200
2022,SE,FT,Data Engineer,135000
2022,SE,FT,Data Analyst,155000
2022,SE,FT,Data Analyst,120600
2022,MI,FT,Data Scientist,130000
2022,MI,FT,Data Scientist,90000
2022,MI,FT,Data Engineer,170000
2022,MI,FT,Data Engineer,150000
2022,SE,FT,Data Analyst,102100
2022,SE,FT,Data Analyst,84900
2022,SE,FT,Data Scientist,136620
2022,SE,FT,Data Scientist,99360
2022,SE,FT,Data Scientist,90000
2022,SE,FT,Data Scientist,80000
2022,SE,FT,Data Scientist,146000
2022,SE,FT,Data Scientist,123000
2022,EN,FT,Data Engineer,40000
2022,SE,FT,Data Analyst,99000
2022,SE,FT,Data Analyst,116000
2022,MI,FT,Data Analyst,106260
2022,MI,FT,Data Analyst,126500
2022,EX,FT,Data Engineer,242000
2022,EX,FT,Data Engineer,200000
2022,MI,FT,Data Scientist,50000
2022,MI,FT,Data Scientist,30000
2022,MI,FT,Data Engineer,60000
2022,MI,FT,Data Engineer,40000
2022,SE,FT,Data Scientist,165220
2022,EN,FT,Data Engineer,35000
2022,SE,FT,Data Scientist,120160
2022,SE,FT,Data Analyst,90320
2022,SE,FT,Data Engineer,181940
2022,SE,FT,Data Engineer,132320
2022,SE,FT,Data Engineer,220110
2022,SE,FT,Data Engineer,160080
2022,SE,FT,Data Scientist,180000
2022,SE,FT,Data Scientist,120000
2022,SE,FT,Data Analyst,124190
2022,EX,FT,Data Analyst,130000
2022,EX,FT,Data Analyst,110000
2022,SE,FT,Data Analyst,170000
2022,MI,FT,Data Analyst,115500
2022,SE,FT,Data Analyst,112900
2022,SE,FT,Data Analyst,90320
2022,SE,FT,Data Analyst,112900
2022,SE,FT,Data Analyst,90320
2022,SE,FT,Data Engineer,165400
2022,SE,FT,Data Engineer,132320
2022,MI,FT,Data Analyst,167000
2022,SE,FT,Data Engineer,243900
2022,SE,FT,Data Analyst,136600
2022,SE,FT,Data Analyst,109280
2022,SE,FT,Data Engineer,128875
2022,SE,FT,Data Engineer,93700
2022,EX,FT,Head of Data Science,224000
2022,EX,FT,Head of Data Science,167875
2022,EX,FT,Analytics Engineer,175000
2022,SE,FT,Data Engineer,156600
2022,SE,FT,Data Engineer,108800
2022,SE,FT,Data Scientist,95550
2022,SE,FT,Data Engineer,113000
2022,SE,FT,Data Analyst,135000
2022,SE,FT,Data Science Manager,161342
2022,SE,FT,Data Science Manager,137141
2022,SE,FT,Data Scientist,167000
2022,SE,FT,Data Scientist,123000
2022,SE,FT,Data Engineer,60000
2022,SE,FT,Data Engineer,50000
2022,SE,FT,Data Scientist,150000
2022,SE,FT,Data Scientist,211500
2022,SE,FT,Data Architect,192400
2022,SE,FT,Data Architect,90700
2022,SE,FT,Data Analyst,130000
2022,SE,FT,Data Analyst,61300
2022,SE,FT,Data Analyst,130000
2022,SE,FT,Data Analyst,61300
2022,SE,FT,Data Engineer,160000
2022,SE,FT,Data Scientist,138600
2022,SE,FT,Data Engineer,136000
2022,MI,FT,Data Analyst,58000
2022,EX,FT,Analytics Engineer,135000
2022,SE,FT,Data Scientist,170000
2022,SE,FT,Data Scientist,123000
2022,SE,FT,Machine Learning Engineer,189650
2022,SE,FT,Machine Learning Engineer,164996
2022,MI,FT,ETL Developer,50000
2022,MI,FT,ETL Developer,50000
2022,EX,FT,Lead Data Engineer,150000
2022,SE,FT,Data Analyst,132000
2022,SE,FT,Data Engineer,165400
2022,SE,FT,Data Architect,208775
2022,SE,FT,Data Architect,147800
2022,SE,FT,Data Engineer,136994
2022,SE,FT,Data Engineer,101570
2022,SE,FT,Data Analyst,128875
2022,SE,FT,Data Analyst,93700
2022,EX,FT,Head of Machine Learning,6000000
2022,SE,FT,Data Engineer,132320
2022,EN,FT,Machine Learning Engineer,28500
2022,SE,FT,Data Analyst,164000
2022,SE,FT,Data Engineer,155000
2022,MI,FT,Machine Learning Engineer,95000
2022,MI,FT,Machine Learning Engineer,75000
2022,MI,FT,AI Scientist,120000
2022,SE,FT,Data Analyst,112900
2022,SE,FT,Data Analyst,90320
2022,SE,FT,Data Analytics Manager,145000
2022,SE,FT,Data Analytics Manager,105400
2022,MI,FT,Machine Learning Engineer,80000
2022,MI,FT,Data Engineer,90000
2022,SE,FT,Data Scientist,215300
2022,SE,FT,Data Scientist,158200
2022,SE,FT,Data Engineer,209100
2022,SE,FT,Data Engineer,154600
2022,SE,FT,Data Analyst,115934
2022,SE,FT,Data Analyst,81666
2022,SE,FT,Data Engineer,175000
2022,MI,FT,Data Engineer,75000
2022,MI,FT,Data Analyst,58000
2022,SE,FT,Data Engineer,183600
2022,MI,FT,Data Analyst,40000
2022,SE,FT,Data Scientist,180000
2022,MI,FT,Data Scientist,55000
2022,MI,FT,Data Scientist,35000
2022,MI,FT,Data Engineer,60000
2022,MI,FT,Data Engineer,45000
2022,MI,FT,Data Engineer,60000
2022,MI,FT,Data Engineer,45000
2022,SE,FT,Data Scientist,260000
2022,SE,FT,Data Science Engineer,60000
2022,MI,FT,Data Engineer,63900
2022,MI,FT,Machine Learning Scientist,160000
2022,MI,FT,Machine Learning Scientist,112300
2022,MI,FT,Data Science Manager,241000
2022,MI,FT,Data Science Manager,159000
2022,SE,FT,Data Scientist,180000
2022,SE,FT,Data Scientist,80000
2022,MI,FT,Data Engineer,82900
2022,SE,FT,Data Engineer,100800
2022,MI,FT,Data Engineer,45000
2022,SE,FT,Data Scientist,140400
2022,MI,FT,Data Analyst,30000
2022,MI,FT,Data Analyst,40000
2022,MI,FT,Data Analyst,30000
2022,MI,FT,Data Engineer,80000
2022,MI,FT,Data Engineer,70000
2022,MI,FT,Data Engineer,80000
2022,MI,FT,Data Engineer,70000
2022,MI,FT,Data Engineer,60000
2022,MI,FT,Data Engineer,80000
2022,SE,FT,Machine Learning Engineer,189650
2022,SE,FT,Machine Learning Engineer,164996
2022,MI,FT,Data Analyst,40000
2022,MI,FT,Data Analyst,30000
2022,MI,FT,Data Engineer,75000
2022,MI,FT,Data Engineer,60000
2022,SE,FT,Data Scientist,215300
2022,MI,FT,Data Engineer,70000
2022,SE,FT,Data Engineer,209100
2022,SE,FT,Data Engineer,154600
2022,SE,FT,Data Engineer,180000
2022,EN,FT,ML Engineer,20000
2022,SE,FT,Data Engineer,80000
2022,MI,FT,Machine Learning Developer,100000
2022,EX,FT,Director of Data Science,250000
2022,MI,FT,Machine Learning Engineer,120000
2022,EN,FT,Computer Vision Engineer,125000
2022,MI,FT,NLP Engineer,240000
2022,SE,FT,Data Engineer,105000
2022,SE,FT,Lead Machine Learning Engineer,80000
2022,MI,FT,Business Data Analyst,1400000
2022,MI,FT,Data Scientist,2400000
2022,MI,FT,Machine Learning Infrastructure Engineer,53000
2022,EN,FT,Financial Data Analyst,100000
2022,MI,PT,Data Engineer,50000
2022,EN,FT,Data Scientist,1400000
2022,SE,FT,Principal Data Scientist,148000
2022,EN,FT,Data Engineer,120000
2022,SE,FT,Research Scientist,144000
2022,SE,FT,Data Scientist,104890
2022,SE,FT,Data Engineer,100000
2022,SE,FT,Data Scientist,140000
2022,MI,FT,Data Analyst,135000
2022,MI,FT,Data Analyst,50000
2022,SE,FT,Data Scientist,220000
2022,SE,FT,Data Scientist,140000
2022,MI,FT,Data Scientist,140000
2022,MI,FT,Data Scientist,70000
2022,SE,FT,Data Scientist,185100
2022,SE,FT,Machine Learning Engineer,220000
2022,MI,FT,Data Scientist,200000
2022,MI,FT,Data Scientist,120000
2022,SE,FT,Machine Learning Engineer,120000
2022,SE,FT,Machine Learning Engineer,65000
2022,EX,FT,Data Engineer,324000
2022,EX,FT,Data Engineer,216000
2022,SE,FT,Data Engineer,210000
2022,SE,FT,Machine Learning Engineer,120000
2022,SE,FT,Data Scientist,230000
2022,EN,PT,Data Scientist,100000
2022,MI,FL,Data Scientist,100000
2022,EN,CT,Applied Machine Learning Scientist,29000
2022,SE,FT,Head of Data,200000
2022,MI,FT,Principal Data Analyst,75000
2022,MI,FT,Data Scientist,150000
2022,SE,FT,Machine Learning Developer,100000
2022,SE,FT,Data Scientist,100000
2022,MI,FT,Machine Learning Scientist,153000
2022,EN,FT,Data Engineer,52800
2022,SE,FT,Data Scientist,165000
2022,SE,FT,Research Scientist,85000
2022,EN,FT,Data Scientist,66500
2022,SE,FT,Machine Learning Engineer,57000
2022,MI,FT,Head of Data,30000
2022,EN,FT,Data Scientist,40000
2022,MI,FT,Machine Learning Engineer,121000
2022,SE,FT,Data Engineer,115000
2022,EN,FT,Data Scientist,120000
2022,MI,FT,Applied Machine Learning Scientist,75000
2022,MI,FT,Research Scientist,59000
2022,EN,FT,Research Scientist,120000
2022,MI,FT,Applied Data Scientist,157000
2022,EN,FT,Computer Vision Software Engineer,150000
2022,MI,FT,Business Data Analyst,90000
2022,EN,FT,Data Engineer,65000
2022,SE,FT,Machine Learning Engineer,65000
2022,EN,FT,Data Analytics Engineer,20000
2022,MI,FT,Data Scientist,48000
2022,SE,FT,Data Science Manager,152500
2022,MI,FT,Data Engineer,62000
2022,MI,FT,Data Scientist,115000
2022,SE,FT,Applied Data Scientist,380000
2022,MI,FT,Data Scientist,88000
2022,EN,FT,Computer Vision Engineer,10000
2022,MI,FT,Data Analyst,20000
2022,SE,FT,Data Analytics Lead,405000
2022,MI,FT,Data Scientist,135000
2022,SE,FT,Applied Data Scientist,177000
2022,MI,FT,Data Scientist,78000
2022,SE,FT,Data Analyst,135000
2022,SE,FT,Data Analyst,100000
2022,SE,FT,Data Analyst,90320
2022,MI,FT,Data Analyst,85000
2022,MI,FT,Data Analyst,75000
2022,SE,FT,Machine Learning Engineer,214000
2022,SE,FT,Machine Learning Engineer,192600
2022,SE,FT,Data Architect,266400
2022,SE,FT,Data Architect,213120
2022,SE,FT,Data Analyst,112900
2022,SE,FT,Data Engineer,155000
2022,MI,FT,Data Scientist,141300
2022,MI,FT,Data Scientist,102100
2022,SE,FT,Data Analyst,115934
2022,SE,FT,Data Analyst,81666
2022,MI,FT,Data Engineer,206699
2022,MI,FT,Data Engineer,99100
2022,SE,FT,Data Engineer,130000
2022,SE,FT,Data Engineer,115000
2022,SE,FT,Data Engineer,110500
2022,SE,FT,Data Engineer,130000
2022,SE,FT,Data Analyst,99050
2022,SE,FT,Data Engineer,160000
2022,SE,FT,Data Scientist,205300
2022,SE,FT,Data Scientist,140400
2022,SE,FT,Data Scientist,176000
2022,SE,FT,Data Scientist,144000
2022,SE,FT,Data Engineer,200100
2022,SE,FT,Data Engineer,160000
2022,SE,FT,Data Engineer,145000
2022,SE,FT,Data Engineer,70500
2022,SE,FT,Data Scientist,205300
2022,SE,FT,Data Scientist,140400
2022,SE,FT,Analytics Engineer,205300
2022,SE,FT,Analytics Engineer,184700
2022,SE,FT,Data Engineer,175100
2022,SE,FT,Data Engineer,140250
2022,SE,FT,Data Analyst,116150
2022,SE,FT,Data Engineer,54000
2022,SE,FT,Data Analyst,170000
2022,MI,FT,Data Analyst,50000
2022,SE,FT,Data Analyst,80000
2022,SE,FT,Data Scientist,140000
2022,SE,FT,Data Scientist,210000
2022,SE,FT,Data Scientist,140000
2022,SE,FT,Data Analyst,100000
2022,SE,FT,Data Analyst,69000
2022,SE,FT,Data Scientist,210000
2022,SE,FT,Data Scientist,140000
2022,SE,FT,Data Scientist,210000
2022,SE,FT,Data Analyst,150075
2022,SE,FT,Data Engineer,100000
2022,SE,FT,Data Engineer,25000
2022,SE,FT,Data Analyst,126500
2022,SE,FT,Data Analyst,106260
2022,SE,FT,Data Engineer,220110
2022,SE,FT,Data Engineer,160080
2022,SE,FT,Data Analyst,105000
2022,SE,FT,Data Analyst,110925
2022,MI,FT,Data Analyst,35000
2022,SE,FT,Data Scientist,140000
2022,SE,FT,Data Analyst,99000
2022,SE,FT,Data Analyst,60000
2022,SE,FT,Data Architect,192564
2022,SE,FT,Data Architect,144854
2022,SE,FT,Data Scientist,230000
2022,SE,FT,Data Scientist,150000
2022,SE,FT,Data Analytics Manager,150260
2022,SE,FT,Data Analytics Manager,109280
2022,SE,FT,Data Scientist,210000
2022,SE,FT,Data Analyst,170000
2022,MI,FT,Data Scientist,160000
2022,MI,FT,Data Scientist,130000
2022,EN,FT,Data Analyst,67000
2022,EN,FT,Data Analyst,52000
2022,SE,FT,Data Engineer,154000
2022,SE,FT,Data Engineer,126000
2022,SE,FT,Data Analyst,129000
2022,SE,FT,Data Analyst,150000
2022,MI,FT,AI Scientist,200000
